dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1809-07-01,,,Ahmadabad,India,23.31N,72.52E
1809-08-01,,,Ahmadabad,India,23.31N,72.52E
1809-09-01,,,Ahmadabad,India,23.31N,72.52E
1809-10-01,,,Ahmadabad,India,23.31N,72.52E
1809-11-01,,,Ahmadabad,India,23.31N,72.52E
1809-12-01,,,Ahmadabad,India,23.31N,72.52E
1810-01-01,,,Ahmadabad,India,23.31N,72.52E
1810-02-01,,,Ahmadabad,India,23.31N,72.52E
1810-03-01,,,Ahmadabad,India,23.31N,72.52E
1810-04-01,,,Ahmadabad,India,23.31N,72.52E
1810-05-01,,,Ahmadabad,India,23.31N,72.52E
1810-06-01,,,Ahmadabad,India,23.31N,72.52E
1810-07-01,,,Ahmadabad,India,23.31N,72.52E
1810-08-01,,,Ahmadabad,India,23.31N,72.52E
1810-09-01,,,Ahmadabad,India,23.31N,72.52E
1810-10-01,,,Ahmadabad,India,23.31N,72.52E
1810-11-01,,,Ahmadabad,India,23.31N,72.52E
1810-12-01,,,Ahmadabad,India,23.31N,72.52E
1811-01-01,,,Ahmadabad,India,23.31N,72.52E
1811-02-01,,,Ahmadabad,India,23.31N,72.52E
1811-03-01,,,Ahmadabad,India,23.31N,72.52E
1811-04-01,,,Ahmadabad,India,23.31N,72.52E
1811-05-01,,,Ahmadabad,India,23.31N,72.52E
1811-06-01,,,Ahmadabad,India,23.31N,72.52E
1811-07-01,,,Ahmadabad,India,23.31N,72.52E
1811-08-01,,,Ahmadabad,India,23.31N,72.52E
1811-09-01,,,Ahmadabad,India,23.31N,72.52E
1811-10-01,,,Ahmadabad,India,23.31N,72.52E
1811-11-01,,,Ahmadabad,India,23.31N,72.52E
1811-12-01,,,Ahmadabad,India,23.31N,72.52E
1812-01-01,,,Ahmadabad,India,23.31N,72.52E
1812-02-01,,,Ahmadabad,India,23.31N,72.52E
1812-03-01,,,Ahmadabad,India,23.31N,72.52E
1812-04-01,,,Ahmadabad,India,23.31N,72.52E
1812-05-01,,,Ahmadabad,India,23.31N,72.52E
1812-06-01,,,Ahmadabad,India,23.31N,72.52E
1812-07-01,,,Ahmadabad,India,23.31N,72.52E
1812-08-01,,,Ahmadabad,India,23.31N,72.52E
1812-09-01,,,Ahmadabad,India,23.31N,72.52E
1812-10-01,,,Ahmadabad,India,23.31N,72.52E
1812-11-01,,,Ahmadabad,India,23.31N,72.52E
1812-12-01,,,Ahmadabad,India,23.31N,72.52E
1813-01-01,16.792,2.809,Ahmadabad,India,23.31N,72.52E
1813-02-01,20.915000000000006,1.742,Ahmadabad,India,23.31N,72.52E
1813-03-01,23.905,5.19,Ahmadabad,India,23.31N,72.52E
1813-04-01,30.955,1.661,Ahmadabad,India,23.31N,72.52E
1813-05-01,33.739000000000004,4.41,Ahmadabad,India,23.31N,72.52E
1813-06-01,31.138,2.267,Ahmadabad,India,23.31N,72.52E
1813-07-01,28.719,1.831,Ahmadabad,India,23.31N,72.52E
1813-08-01,26.616,1.346,Ahmadabad,India,23.31N,72.52E
1813-09-01,27.864,1.721,Ahmadabad,India,23.31N,72.52E
1813-10-01,26.4,1.599,Ahmadabad,India,23.31N,72.52E
1813-11-01,24.941999999999997,1.639,Ahmadabad,India,23.31N,72.52E
1813-12-01,19.029,1.809,Ahmadabad,India,23.31N,72.52E
1814-01-01,17.983999999999995,2.878,Ahmadabad,India,23.31N,72.52E
1814-02-01,21.064,1.67,Ahmadabad,India,23.31N,72.52E
1814-03-01,24.876,2.154,Ahmadabad,India,23.31N,72.52E
1814-04-01,29.557,1.6880000000000002,Ahmadabad,India,23.31N,72.52E
1814-05-01,,,Ahmadabad,India,23.31N,72.52E
1814-06-01,31.618,1.778,Ahmadabad,India,23.31N,72.52E
1814-07-01,27.127,2.62,Ahmadabad,India,23.31N,72.52E
1814-08-01,26.57,1.571,Ahmadabad,India,23.31N,72.52E
1814-09-01,26.568,1.477,Ahmadabad,India,23.31N,72.52E
1814-10-01,25.654,3.134,Ahmadabad,India,23.31N,72.52E
1814-11-01,24.837,4.294,Ahmadabad,India,23.31N,72.52E
1814-12-01,21.967,4.634,Ahmadabad,India,23.31N,72.52E
1815-01-01,18.574,2.298,Ahmadabad,India,23.31N,72.52E
1815-02-01,21.592,4.42,Ahmadabad,India,23.31N,72.52E
1815-03-01,24.879,3.176,Ahmadabad,India,23.31N,72.52E
1815-04-01,30.206000000000003,2.689,Ahmadabad,India,23.31N,72.52E
1815-05-01,32.262,2.902,Ahmadabad,India,23.31N,72.52E
1815-06-01,29.289,1.796,Ahmadabad,India,23.31N,72.52E
1815-07-01,28.275,2.45,Ahmadabad,India,23.31N,72.52E
1815-08-01,26.857,1.705,Ahmadabad,India,23.31N,72.52E
1815-09-01,27.126,1.466,Ahmadabad,India,23.31N,72.52E
1815-10-01,25.24,2.713,Ahmadabad,India,23.31N,72.52E
1815-11-01,22.573,2.191,Ahmadabad,India,23.31N,72.52E
1815-12-01,18.522000000000002,2.069,Ahmadabad,India,23.31N,72.52E
1816-01-01,19.099,3.862,Ahmadabad,India,23.31N,72.52E
1816-02-01,18.656,2.184,Ahmadabad,India,23.31N,72.52E
1816-03-01,24.87,1.954,Ahmadabad,India,23.31N,72.52E
1816-04-01,29.427,3.417,Ahmadabad,India,23.31N,72.52E
1816-05-01,32.624,1.992,Ahmadabad,India,23.31N,72.52E
1816-06-01,30.631999999999998,2.002,Ahmadabad,India,23.31N,72.52E
1816-07-01,26.726999999999997,1.774,Ahmadabad,India,23.31N,72.52E
1816-08-01,26.131,1.234,Ahmadabad,India,23.31N,72.52E
1816-09-01,26.051,1.294,Ahmadabad,India,23.31N,72.52E
1816-10-01,24.289,4.793,Ahmadabad,India,23.31N,72.52E
1816-11-01,22.68,5.497999999999998,Ahmadabad,India,23.31N,72.52E
1816-12-01,18.993,1.7919999999999998,Ahmadabad,India,23.31N,72.52E
1817-01-01,18.439,3.923,Ahmadabad,India,23.31N,72.52E
1817-02-01,21.72,2.481,Ahmadabad,India,23.31N,72.52E
1817-03-01,25.569000000000003,2.095,Ahmadabad,India,23.31N,72.52E
1817-04-01,30.113000000000003,1.953,Ahmadabad,India,23.31N,72.52E
1817-05-01,31.448000000000004,2.074,Ahmadabad,India,23.31N,72.52E
1817-06-01,29.809,1.723,Ahmadabad,India,23.31N,72.52E
1817-07-01,27.226999999999997,1.764,Ahmadabad,India,23.31N,72.52E
1817-08-01,27.089000000000002,1.715,Ahmadabad,India,23.31N,72.52E
1817-09-01,25.075,2.295,Ahmadabad,India,23.31N,72.52E
