_id,wkb_geometry,country,project name,type,status,capacity (mw),year of completion,country list of sponsor/developer,sponsor/developer company,country list of lender/financier,lender/financier company,country list of construction/epc,construction company/epc participant,country_1,province/state,district,tributary,latitude,longitude,proximity,avg. annual output (mwh),data source,announcement/more information,link
524,0101000020E610000090A0F831E6D259406DFFCA4A93922840,Cambodia,Stung Pursat I,Hydro,Under Construction,80,2023,South Korea; China; Cambodia,SPHP Co. Ltd.,,,,,Cambodia,Pursat,Veal Veaeng,Steng Pursat,12.28628,103.2953,,,OpenDevelopment,https://www.voacambodia.com/a/villagers-in-pursat-risk-losing-everything-to-dam-development/4876663.html; https://www.phnompenhpost.com/business/new-231m-pursat-dam-built;,
525,0101000020E6100000A7052FFA0A325840F9F719170E7C3440,Myanmar,Baluchaung (Upper),Hydro,Under Construction,30.4,,Myanmar,"Neo Energy Oasis Development Co., Ltd. (Myanmar)",,,Japan,"Nippon Koei Co., Ltd (Project Participant) (Japan)",Myanmar,Shan,Taunggye,Nam Pawn,20.48459,96.78192,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES,
526,0101000020E6100000922232ACE219584080D4264EEEAF3540,Myanmar,Deedoke (Deedote),Hydro,Under Construction,66,,Austria; Japan; Myanmar,"Andritz Hydro GmbH, Kansai Electric Power Co., Shwe Taung Group",,,,,Myanmar,Mandalay,Kyaukse,Myitnge,21.68723,96.40446,,,Myanmar Institute for Peace and Security,https://frontiermyanmar.net/en/hydropower-is-back,
527,0101000020E61000002F8B89CDC78B58403B8DB454DEBE3440,Myanmar,Keng Tawng (Upper),Hydro,Under Construction,51,2020,Myanmar,MOEP (Myamar),,,,,Myanmar,Shan,Loilen,Nam Teng,20.74558,98.18407,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES,
528,0101000020E6100000FCA9F1D24D7A5840FD4D2844C0F13740,Myanmar,Nam Paw,Hydro,Under Construction,20,,Myanmar,Great Hor Kham Co.,,,,,Myanmar,Shan,Muse,Nam Paw,23.94434,97.911,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,
529,0101000020E61000000FD1E80E623358406AFB57569A543740,Myanmar,Shweli-3,Hydro,Under Construction,670,,Myanmar,MOEP (Myanmar),,,France; Japan; Myanmar,"Electricité du France (EdF), Marubeni Corporation, Myanmar Ayeyar Hinthar Company",Myanmar,Shan,Kyaukme,Shweli,23.33048,96.80286,,,Myanmar Institute for Peace and Security,"https://www.mmtimes.com/news/shan-state-hydropower-project-permitted-proceed.html, https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES",
530,0101000020E6100000AAF1D24D62985740A4703D0AD7A33240,Myanmar,Thahtay,Hydro,Under Construction,111,,Myanmar,MOEP,China,China EXIM Bank (China); China Development Bank (China),,,Myanmar,Rakhine,Thandwe,Coastal Rivers South Rakhine,18.64,94.381,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES,
531,0101000020E61000005114E813794658404BCD1E68053E3640,Myanmar,Yeywa (Upper),Hydro,Under Construction,280,2021,Myanmar,MOEP,,,Switzerland; France; Myanmar,"STUCKY SA (Switzerland), IPGRB (Myanmar, France)",Myanmar,Shan,Taunggye,Myitnge,22.24227,97.10114,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/66f33498-296f-49df-ab07-06c48b10d14d/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,
532,0101000020E6100000168A743FA7895740C3EFA65B76A83440,Myanmar,Buywa,Hydro,Under Construction,42,2018,Myanmar,MOALI,,,,,Myanmar,Magway,Minbu,Ayeyarwady,20.658056,94.150833,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
533,0101000020E61000002506819543675840B24B546F0DFC3840,Myanmar,Mali,Hydro,Under Construction,11,2006,Myanmar,Buga Co.,,,,,Myanmar,Kachin,Myitkyina,Ayeyarwady,24.98458,97.6135,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
